Business_name	Business_phone_number	Business_homepage_URL	Business_Address	Opening_hours	Takes_Reservations	Delivery	TAKE_OUT	Accepts_Credit_Cards	Accepts_Apple_Pay	Accepts_Android_Pay	Accepts_Bitcoin	Good_For	Parking	Bike_Parking	Good_for_Kids	Good_for_Groups	Attire	Ambience	Noise_Level	Alcohol	Outdoor_Seating	Wi_Fi	Has_TV	Caters	Gender_Neutral_Restrooms	contact_US	emails
1300 on Fillmore	(415) 771-7100	1300fillmore.com	1300 Fillmore StSan Francisco, CA 94115 b/t Ellis St & Eddy St Western Addition, Fillmore	Mon --> NA - NA ; Tue --> 5:30 pm - 10:00 pm ; Wed --> NA - NA ; Thu --> 5:30 pm - 10:00 pm ; Fri --> 5:30 pm - 11:00 pm ; Sat --> 5:30 pm - 11:00 pm ; Sun --> 10:30 am - 2:30 pm5:30 pm - 10:00 pm ;	Yes	No	Yes	Yes	No	NA	NA	Dinner	Garage, Street	No	No	Yes	Dressy	Classy	Average	Full Bar	No	Free	No	Yes	Yes	http://www.1300fillmore.com/contact/	guestinfo@1300fillmore.com, events@1300fillmore.com
1428 HAIGHT Patio Cafe &amp; Crepery	(415) 864-8484	1428haight.com	1428 Haight StSan Francisco, CA 94117 b/t Masonic Ave & Ashbury St The Haight	Mon --> 8:00 am - 10:00 pm ; Tue --> 8:00 am - 10:00 pm ; Wed --> NA - NA ; Thu --> 8:00 am - 10:00 pm ; Fri --> 8:00 am - 10:00 pm ; Sat --> 8:00 am - 10:00 pm ; Sun --> 8:00 am - 10:00 pm ;	No	Yes	Yes	Yes	No	NA	NA	Breakfast, Brunch, Lunch	Street	Yes	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	Yes	Free	Yes	No	Yes	http://www.1428haight.com/contact/	NA
1601 Bar &amp; Kitchen	(415) 552-1601	1601sf.com	1601 Howard StSan Francisco, CA 94103 b/t Van Ness Ave & 12th St SoMa	Mon --> NA - NA ; Tue --> 5:30 pm - 9:30 pm ; Wed --> NA - NA ; Thu --> 5:30 pm - 9:30 pm ; Fri --> 5:30 pm - 10:00 pm ; Sat --> 5:30 pm - 10:00 pm ; Sun --> NA - NA ;	Yes	No	Yes	Yes	No	NA	No	NA	Garage, Street	Yes	No	Yes	Casual	Trendy	Average	Beer & Wine Only	No	Free	No	No	Yes	https://1601sf.com/contact/	NA
1760	(415) 359-1212	1760sf.com	1760 Polk StSan Francisco, CA 94109 b/t Washington St & Clay St Nob Hill	Mon --> 5:30 pm - 9:30 pm ; Tue --> 5:30 pm - 9:30 pm ; Wed --> NA - NA ; Thu --> 5:30 pm - 9:30 pm ; Fri --> 5:30 pm - 11:00 pm ; Sat --> 5:30 pm - 11:00 pm ; Sun --> NA - NA ;	Yes	No	No	Yes	No	NA	NA	Dinner	Street	Yes	No	Yes	Casual	Trendy	Average	Full Bar	No	No	No	No	NA	http://www.1760sf.com/new-page-2/	info@1760sf.com
20 Spot	(415) 624-3140	20spot.com	3565 20th StSan Francisco, CA 94110 b/t San Carlos St & Lexington St Mission	Mon --> 5:00 pm - 12:00 am ; Tue --> 5:00 pm - 12:00 am ; Wed --> NA - NA ; Thu --> 5:00 pm - 12:00 am ; Fri --> 5:00 pm - 1:00 am ; Sat --> 5:00 pm - 1:00 am ; Sun --> NA - NA ;	No	No	No	Yes	Yes	NA	NA	Dinner	Street	Yes	No	Yes	Casual	Intimate	Average	Beer & Wine Only	No	No	No	No	Yes	http://20spot.com/contact/	NA
20th Century Cafe	(415) 621-2380	20thcenturycafe.com	198 Gough StSan Francisco, CA 94102 b/t Oak St & Lily St Hayes Valley	Mon --> 9:00 am - 5:30 pm ; Tue --> 9:00 am - 5:30 pm ; Wed --> NA - NA ; Thu --> 9:00 am - 5:30 pm ; Fri --> 9:00 am - 5:30 pm ; Sat --> 10:00 am - 5:30 pm ; Sun --> 10:00 am - 4:00 pm ;	No	No	Yes	Yes	No	No	NA	Breakfast, Brunch, Lunch	Street	Yes	Yes	No	Casual	Casual	Average	Beer & Wine Only	No	No	No	No	Yes	http://20thcenturycafe.com/	20thcenturycafe@gmail.com
3rd Cousin	(415) 814-3709	3rdcousinsf.com	919 Cortland AveSan Francisco, CA 94110 b/t Folsom St & Gates St Bernal Heights	Mon --> 5:30 pm - 10:00 pm ; Tue --> 5:30 pm - 10:00 pm ; Wed --> NA - NA ; Thu --> 5:30 pm - 10:00 pm ; Fri --> 5:30 pm - 10:00 pm ; Sat --> 5:30 pm - 10:00 pm ; Sun --> 5:30 pm - 10:00 pm ;	Yes	No	No	Yes	NA	NA	No	Dinner	Street	Yes	No	No	Casual	Casual	Average	Beer & Wine Only	No	No	No	Yes	Yes	http://www.3rdcousinsf.com/3rdcousincatering/	eat@3rdcousinsf.com
5 Sweets	(415) 347-7665	NA	1125 Ocean Ave 102San Francisco, CA 94112 Ingleside	Mon --> 10:00 am - 7:00 pm ; Tue --> 10:00 am - 7:00 pm ; Wed --> NA - NA ; Thu --> 10:00 am - 7:00 pm ; Fri --> 10:00 am - 10:00 pm ; Sat --> 12:00 pm - 10:00 pm ; Sun --> 12:00 pm - 7:00 pm ;	No	No	Yes	Yes	Yes	Yes	NA	Brunch, Dessert	Street	Yes	Yes	Yes	Casual	Casual	Quiet	No	No	Free	No	No	NA	NA	NA
6th and B	(415) 753-9138	6thandb.com	452 Balboa StSan Francisco, CA 94118 b/t 6th Ave & 5th Ave Inner Richmond	Mon --> 8:00 am - 3:00 pm ; Tue --> NA - NA ; Wed --> NA - NA ; Thu --> 8:00 am - 3:00 pm ; Fri --> 8:00 am - 3:00 pm ; Sat --> 8:00 am - 3:00 pm ; Sun --> 8:00 am - 3:00 pm ;	No	No	Yes	Yes	Yes	No	NA	Breakfast, Brunch, Lunch	Street	No	Yes	Yes	Casual	Casual, Trendy	Average	Beer & Wine Only	No	Free	Yes	Yes	NA	http://www.6thandb.com/contact.html	NA
808 Poke Shack	(559) 217-3741	808pokeshack.com	Serving San Francisco and surrounding area 428 11th StSan Francisco, CA 94103 b/t United States Highway 101 & Harrison St SoMa	Mon --> 11:00 am - 3:00 pm ; Tue --> NA - NA ; Wed --> NA - NA ; Thu --> NA - NA ; Fri --> NA - NA ; Sat --> NA - NA ; Sun --> NA - NA ;	No	No	Yes	Yes	No	No	No	Lunch	NA	Yes	Yes	Yes	Casual	Casual	Average	No	Yes	No	No	Yes	NA	http://808pokeshack.com/	808pokeshack@gmail.com
